ZIP,CASES,DEATHS

11201,263694,23969

36578,6694,69

36027,1033,9

36793,843,14

35952,1942,25

36830,649,17

36037,1013,40

36254,4621,61

36855,1352,44

35960,745,14

36793,1893,32

36922,392,12

36482,1353,17

35082,749,12

36268,573,8

36318,1795,11

35582,2041,32

36768,561,13

36080,205,3

36477,1755,29

36046,609,30

35670,2508,24

36350,1772,51

36759,1872,27

35771,3461,29

36080,3227,53

36503,1730,30

36271,4312,51

35559,584,13

35582,2061,31

36313,916,7

36740,346,16

36738,777,30

36350,719,6

36350,4180,34

35771,2175,15

35229,23443,377

35552,506,5

35617,2313,42

35643,861,32

36865,6550,65

35652,2893,30

36761,714,28

36830,537,20

35813,9394,96

36904,1025,22

35543,1097,29

35964,4411,50

36590,16934,315

36768,648,10

36057,10298,197

35670,4182,35

36793,593,6

35555,860,18

36005,1344,13

36274,829,16

36870,1953,3

35143,7436,63

35906,2999,42

36922,473,21

35082,2674,35

36861,1330,87

35478,10414,140

35038,2823,92

36558,749,12

36723,570,12

35540,937,13

99583,15,0

99546,97,0

99530,7411,42

99641,389,1

99613,76,0

99743,26,0

99569,50,0

99705,2065,13

99827,12,0

99811,517,2

99663,905,1

99928,80,0

99644,97,0

99647,5,0

99694,1155,2

99659,129,0

99791,246,0

99751,235,0

99833,15,0

99926,34,0

99835,74,0

99840,8,0

99731,72,0

99574,161,1

99929,19,0

99724,111,2

85936,3885,169

85609,2150,73

86016,5090,147

85553,1863,70

85530,1151,28

85922,102,2

85344,613,17

85287,154902,3541

86433,4272,230

86030,6307,238

85341,27575,636

85739,11743,217

85611,2981,65

85362,2913,88

85336,13646,354

72003,668,16

71676,537,11

72659,658,9

72711,8098,118

72682,1032,32

71660,369,8

71766,49,0

72613,992,15

71676,1049,22

71923,495,5

72425,482,13

72545,455,15

71660,233,13

71740,696,20

72157,344,3

72479,4472,43

72947,2018,25

