Zip Code,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS

11201,0.035,0.034,0.058,0.141,0.732

36051,0.053,0.074,0.134,0.295,0.444

36578,0.083,0.059,0.098,0.323,0.436

36027,0.067,0.121,0.12,0.201,0.491

36793,0.02,0.034,0.096,0.278,0.572

35952,0.053,0.114,0.18,0.194,0.459

36830,0.031,0.04,0.144,0.286,0.5

36037,0.102,0.053,0.257,0.137,0.451

36254,0.152,0.108,0.13,0.167,0.442

36855,0.117,0.037,0.15,0.136,0.56

35960,0.135,0.027,0.161,0.158,0.52

36793,0.06,0.07,0.058,0.194,0.618

36922,0.049,0.038,0.126,0.219,0.568

36482,0.049,0.088,0.164,0.268,0.43

35082,0.148,0.158,0.195,0.169,0.329

36268,0.151,0.125,0.138,0.217,0.368

36318,0.101,0.152,0.094,0.186,0.466

35582,0.082,0.096,0.152,0.159,0.51

36768,0.099,0.052,0.259,0.192,0.399

36080,0.055,0.131,0.167,0.263,0.384

36477,0.187,0.128,0.129,0.201,0.356

36046,0.06,0.091,0.199,0.233,0.416

35670,0.13,0.024,0.249,0.217,0.379

36350,0.089,0.113,0.118,0.22,0.46

36759,0.095,0.1,0.159,0.122,0.524

35771,0.084,0.051,0.106,0.179,0.58

36080,0.042,0.095,0.127,0.252,0.485

36503,0.114,0.026,0.188,0.285,0.387

36271,0.096,0.103,0.178,0.122,0.501

35559,0.138,0.048,0.151,0.233,0.429

35582,0.065,0.071,0.223,0.156,0.484

36313,0.176,0.131,0.089,0.158,0.445

36740,0.03,0.053,0.127,0.167,0.623

36738,0.026,0.061,0.084,0.191,0.639

36350,0.066,0.068,0.17,0.258,0.438

36350,0.085,0.079,0.135,0.268,0.433

35771,0.092,0.089,0.11,0.249,0.46

35229,0.049,0.037,0.107,0.179,0.628

35552,0.107,0.045,0.132,0.189,0.527

35617,0.093,0.119,0.141,0.179,0.469

35643,0.162,0.08,0.088,0.251,0.419

36865,0.053,0.064,0.138,0.183,0.562

35652,0.102,0.034,0.133,0.336,0.395

36761,0.12,0.073,0.145,0.199,0.464

36830,0.008,0.033,0.241,0.172,0.545

35813,0.062,0.05,0.123,0.177,0.589

36904,0.033,0.151,0.118,0.186,0.512

35543,0.129,0.064,0.246,0.207,0.353

35964,0.075,0.064,0.129,0.253,0.479

36590,0.077,0.07,0.102,0.244,0.506

36768,0.112,0.041,0.182,0.288,0.378

36057,0.056,0.095,0.123,0.212,0.513

35670,0.078,0.077,0.082,0.304,0.459

36793,0.025,0.084,0.087,0.187,0.618

35555,0.031,0.06,0.169,0.157,0.584

36005,0.06,0.131,0.145,0.333,0.33

36274,0.158,0.226,0.105,0.144,0.368

36870,0.069,0.067,0.08,0.213,0.57

35906,0.027,0.134,0.144,0.2,0.495

35143,0.022,0.075,0.118,0.24,0.545

36922,0.055,0.068,0.118,0.197,0.562

35082,0.113,0.15,0.208,0.169,0.361

36861,0.067,0.095,0.136,0.296,0.406

35478,0.041,0.036,0.144,0.247,0.532

35038,0.09,0.081,0.145,0.256,0.429

36558,0.018,0.077,0.102,0.307,0.495

36723,0.061,0.098,0.199,0.187,0.455

35540,0.13,0.046,0.328,0.183,0.312

99583,0.067,0.032,0.034,0.316,0.551

99546,0.078,0.031,0.03,0.337,0.524

99530,0.042,0.05,0.049,0.196,0.663

99641,0.101,0.022,0.014,0.45,0.413

99613,0.048,0.037,0.042,0.308,0.564

99743,0.062,0.081,0.067,0.225,0.565

99569,0.072,0.025,0.027,0.391,0.484

99705,0.094,0.084,0.175,0.234,0.413

99827,0.055,0.05,0.123,0.419,0.352

99820,0.051,0.064,0.13,0.399,0.356

99811,0.051,0.067,0.133,0.396,0.353

99663,0.043,0.047,0.051,0.197,0.662

99928,0.025,0.149,0.174,0.256,0.396

99644,0.042,0.043,0.049,0.233,0.633

99647,0.055,0.036,0.04,0.299,0.571

99694,0.042,0.051,0.048,0.198,0.66

99659,0.086,0.061,0.009,0.544,0.3

99791,0.036,0.059,0.235,0.215,0.455

99751,0.035,0.188,0.051,0.474,0.252

99833,0.042,0.095,0.148,0.349,0.365

99926,0.033,0.125,0.161,0.3,0.38

99835,0.048,0.077,0.137,0.381,0.357

99840,0.058,0.038,0.116,0.435,0.354

99731,0.064,0.071,0.14,0.272,0.453

99574,0.04,0.049,0.052,0.197,0.663

99929,0.035,0.119,0.16,0.312,0.374

99689,0.047,0.012,0.078,0.381,0.481

99724,0.044,0.047,0.126,0.425,0.358

