date,county,state,fips,cases,deaths
2020-10-26,Autauga,Alabama,01001,2074,31
2020-10-26,Baldwin,Alabama,01003,6694,69
2020-10-26,Barbour,Alabama,01005,1033,9
2020-10-26,Bibb,Alabama,01007,843,14
2020-10-26,Blount,Alabama,01009,1942,25
2020-10-26,Bullock,Alabama,01011,649,17
2020-10-26,Butler,Alabama,01013,1013,40
2020-10-26,Calhoun,Alabama,01015,4621,61
2020-10-26,Chambers,Alabama,01017,1352,44
2020-10-26,Cherokee,Alabama,01019,745,14
2020-10-26,Chilton,Alabama,01021,1893,32
2020-10-26,Choctaw,Alabama,01023,392,12
2020-10-26,Clarke,Alabama,01025,1353,17
2020-10-26,Clay,Alabama,01027,749,12
2020-10-26,Cleburne,Alabama,01029,573,8
2020-10-26,Coffee,Alabama,01031,1795,11
2020-10-26,Colbert,Alabama,01033,2041,32
2020-10-26,Conecuh,Alabama,01035,561,13
2020-10-26,Coosa,Alabama,01037,205,3
2020-10-26,Covington,Alabama,01039,1755,29
2020-10-26,Crenshaw,Alabama,01041,609,30
2020-10-26,Cullman,Alabama,01043,2508,24
2020-10-26,Dale,Alabama,01045,1772,51
2020-10-26,Dallas,Alabama,01047,1872,27
2020-10-26,DeKalb,Alabama,01049,3461,29
2020-10-26,Elmore,Alabama,01051,3227,53
2020-10-26,Escambia,Alabama,01053,1730,30
2020-10-26,Etowah,Alabama,01055,4312,51
2020-10-26,Fayette,Alabama,01057,584,13
2020-10-26,Franklin,Alabama,01059,2061,31
2020-10-26,Geneva,Alabama,01061,916,7
2020-10-26,Greene,Alabama,01063,346,16
2020-10-26,Hale,Alabama,01065,777,30
2020-10-26,Henry,Alabama,01067,719,6
2020-10-26,Houston,Alabama,01069,4180,34
2020-10-26,Jackson,Alabama,01071,2175,15
2020-10-26,Jefferson,Alabama,01073,23443,377
2020-10-26,Lamar,Alabama,01075,506,5
2020-10-26,Lauderdale,Alabama,01077,2313,42
2020-10-26,Lawrence,Alabama,01079,861,32
2020-10-26,Lee,Alabama,01081,6550,65
2020-10-26,Limestone,Alabama,01083,2893,30
2020-10-26,Lowndes,Alabama,01085,714,28
2020-10-26,Macon,Alabama,01087,537,20
2020-10-26,Madison,Alabama,01089,9394,96
2020-10-26,Marengo,Alabama,01091,1025,22
2020-10-26,Marion,Alabama,01093,1097,29
2020-10-26,Marshall,Alabama,01095,4411,50
2020-10-26,Mobile,Alabama,01097,16934,315
2020-10-26,Monroe,Alabama,01099,648,10
2020-10-26,Montgomery,Alabama,01101,10298,197
2020-10-26,Morgan,Alabama,01103,4182,35
2020-10-26,Perry,Alabama,01105,593,6
2020-10-26,Pickens,Alabama,01107,860,18
2020-10-26,Pike,Alabama,01109,1344,13
2020-10-26,Randolph,Alabama,01111,829,16
2020-10-26,Russell,Alabama,01113,1953,3
2020-10-26,Shelby,Alabama,01117,7436,63
2020-10-26,St. Clair,Alabama,01115,2999,42
2020-10-26,Sumter,Alabama,01119,473,21
2020-10-26,Talladega,Alabama,01121,2674,35
2020-10-26,Tallapoosa,Alabama,01123,1330,87
2020-10-26,Tuscaloosa,Alabama,01125,10414,140
2020-10-26,Walker,Alabama,01127,2823,92
2020-10-26,Washington,Alabama,01129,749,12
2020-10-26,Wilcox,Alabama,01131,570,12
2020-10-26,Winston,Alabama,01133,937,13
2020-10-26,Aleutians East Borough,Alaska,02013,15,0
2020-10-26,Aleutians West Census Area,Alaska,02016,97,0
2020-10-26,Anchorage,Alaska,02020,7411,42
2020-10-26,Bethel Census Area,Alaska,02050,389,1
2020-10-26,Bristol Bay Borough,Alaska,02060,76,0
2020-10-26,Denali Borough,Alaska,02068,26,0
2020-10-26,Dillingham Census Area,Alaska,02070,50,0
2020-10-26,Fairbanks North Star Borough,Alaska,02090,2065,13
2020-10-26,Haines Borough,Alaska,02100,12,0
2020-10-26,Juneau City and Borough,Alaska,02110,517,2
2020-10-26,Kenai Peninsula Borough,Alaska,02122,905,1
2020-10-26,Ketchikan Gateway Borough,Alaska,02130,80,0
2020-10-26,Kodiak Island Borough,Alaska,02150,97,0
2020-10-26,Kusilvak Census Area,Alaska,02158,192,0
2020-10-26,Lake and Peninsula Borough,Alaska,02164,5,0
2020-10-26,Matanuska-Susitna Borough,Alaska,02170,1155,2
2020-10-26,Nome Census Area,Alaska,02180,129,0
2020-10-26,North Slope Borough,Alaska,02185,246,0
2020-10-26,Northwest Arctic Borough,Alaska,02188,235,0
2020-10-26,Petersburg Borough,Alaska,02195,15,0
2020-10-26,Prince of Wales-Hyder Census Area,Alaska,02198,34,0
2020-10-26,Sitka City and Borough,Alaska,02220,74,0
2020-10-26,Skagway Municipality,Alaska,02230,8,0
2020-10-26,Southeast Fairbanks Census Area,Alaska,02240,72,0
2020-10-26,Unknown,Alaska,,120,0
2020-10-26,Valdez-Cordova Census Area,Alaska,02261,161,1
2020-10-26,Wrangell City and Borough,Alaska,02275,19,0
2020-10-26,Yukon-Koyukuk Census Area,Alaska,02290,111,2
2020-10-26,Apache,Arizona,04001,3885,169
2020-10-26,Cochise,Arizona,04003,2150,73
2020-10-26,Coconino,Arizona,04005,5090,147
2020-10-26,Gila,Arizona,04007,1863,70
2020-10-26,Graham,Arizona,04009,1151,28
2020-10-26,Greenlee,Arizona,04011,102,2
2020-10-26,La Paz,Arizona,04012,613,17
2020-10-26,Maricopa,Arizona,04013,154902,3541
2020-10-26,Mohave,Arizona,04015,4272,230
2020-10-26,Navajo,Arizona,04017,6307,238
2020-10-26,Pima,Arizona,04019,27575,636
2020-10-26,Pinal,Arizona,04021,11743,217
2020-10-26,Santa Cruz,Arizona,04023,2981,65
2020-10-26,Yavapai,Arizona,04025,2913,88
2020-10-26,Yuma,Arizona,04027,13646,354
2020-10-26,Arkansas,Arkansas,05001,668,16
2020-10-26,Ashley,Arkansas,05003,537,11
2020-10-26,Baxter,Arkansas,05005,658,9
2020-10-26,Benton,Arkansas,05007,8098,118
2020-10-26,Boone,Arkansas,05009,1032,32
2020-10-26,Bradley,Arkansas,05011,369,8
2020-10-26,Calhoun,Arkansas,05013,49,0
2020-10-26,Carroll,Arkansas,05015,992,15
2020-10-26,Chicot,Arkansas,05017,1049,22
2020-10-26,Clark,Arkansas,05019,495,5
2020-10-26,Clay,Arkansas,05021,482,13
2020-10-26,Cleburne,Arkansas,05023,455,15
2020-10-26,Cleveland,Arkansas,05025,233,13
2020-10-26,Columbia,Arkansas,05027,696,20
2020-10-26,Conway,Arkansas,05029,344,3
2020-10-26,Craighead,Arkansas,05031,4472,43
2020-10-26,Crawford,Arkansas,05033,2018,25
2020-10-26,Crittenden,Arkansas,05035,2367,51
2020-10-26,Cross,Arkansas,05037,579,22
2020-10-26,Dallas,Arkansas,05039,179,5
2020-10-26,Desha,Arkansas,05041,410,7
2020-10-26,Drew,Arkansas,05043,429,7
2020-10-26,Faulkner,Arkansas,05045,3320,31
2020-10-26,Franklin,Arkansas,05047,522,3
2020-10-26,Fulton,Arkansas,05049,319,9
2020-10-26,Garland,Arkansas,05051,2448,64
2020-10-26,Grant,Arkansas,05053,360,4
2020-10-26,Greene,Arkansas,05055,1466,17
2020-10-26,Hempstead,Arkansas,05057,547,5
2020-10-26,Hot Spring,Arkansas,05059,2203,36
2020-10-26,Howard,Arkansas,05061,578,14
2020-10-26,Independence,Arkansas,05063,1457,47
2020-10-26,Izard,Arkansas,05065,556,2
2020-10-26,Jackson,Arkansas,05067,750,6
2020-10-26,Jefferson,Arkansas,05069,4160,102
2020-10-26,Johnson,Arkansas,05071,1013,8
2020-10-26,Lafayette,Arkansas,05073,170,3
2020-10-26,Lawrence,Arkansas,05075,808,17
2020-10-26,Lee,Arkansas,05077,1110,18
2020-10-26,Lincoln,Arkansas,05079,2306,17
2020-10-26,Little River,Arkansas,05081,447,38
2020-10-26,Logan,Arkansas,05083,592,3
2020-10-26,Lonoke,Arkansas,05085,1723,26
2020-10-26,Madison,Arkansas,05087,426,6
2020-10-26,Marion,Arkansas,05089,151,2
2020-10-26,Miller,Arkansas,05091,1419,16
2020-10-26,Mississippi,Arkansas,05093,2267,68
2020-10-26,Monroe,Arkansas,05095,212,1
2020-10-26,Montgomery,Arkansas,05097,182,8
2020-10-26,Nevada,Arkansas,05099,299,14
2020-10-26,Newton,Arkansas,05101,306,20
2020-10-26,Ouachita,Arkansas,05103,377,9
2020-10-26,Perry,Arkansas,05105,137,0
2020-10-26,Phillips,Arkansas,05107,741,16
2020-10-26,Pike,Arkansas,05109,266,1
2020-10-26,Poinsett,Arkansas,05111,1039,18
2020-10-26,Polk,Arkansas,05113,354,5
2020-10-26,Pope,Arkansas,05115,2707,37
2020-10-26,Prairie,Arkansas,05117,207,4
2020-10-26,Pulaski,Arkansas,05119,11830,209
2020-10-26,Randolph,Arkansas,05121,640,24
2020-10-26,Saline,Arkansas,05125,2790,29
2020-10-26,Scott,Arkansas,05127,213,1
2020-10-26,Searcy,Arkansas,05129,198,1
2020-10-26,Sebastian,Arkansas,05131,4820,92
2020-10-26,Sevier,Arkansas,05133,1341,16
2020-10-26,Sharp,Arkansas,05135,358,10
2020-10-26,St. Francis,Arkansas,05123,1750,10
2020-10-26,Stone,Arkansas,05137,398,21
2020-10-26,Union,Arkansas,05139,1120,49
2020-10-26,Unknown,Arkansas,,2205,0
2020-10-26,Van Buren,Arkansas,05141,209,3
2020-10-26,Washington,Arkansas,05143,11392,150
2020-10-26,White,Arkansas,05145,1452,32
2020-10-26,Woodruff,Arkansas,05147,116,0
2020-10-26,Yell,Arkansas,05149,1339,31
2020-10-26,Alameda,California,06001,23412,461
2020-10-26,Alpine,California,06003,3,0
2020-10-26,Amador,California,06005,329,16
2020-10-26,Butte,California,06007,3087,52
2020-10-26,Calaveras,California,06009,342,18
2020-10-26,Colusa,California,06011,551,6
2020-10-26,Contra Costa,California,06013,18640,242
2020-10-26,Del Norte,California,06015,180,1
2020-10-26,El Dorado,California,06017,1328,4
2020-10-26,Fresno,California,06019,30858,436
2020-10-26,Glenn,California,06021,652,3
2020-10-26,Humboldt,California,06023,567,10
2020-10-26,Imperial,California,06025,12882,335
2020-10-26,Inyo,California,06027,226,15
2020-10-26,Kern,California,06029,33928,416
2020-10-26,Kings,California,06031,8246,83
2020-10-26,Lake,California,06033,695,15
2020-10-26,Lassen,California,06035,766,1
2020-10-26,Los Angeles,California,06037,300614,7000
2020-10-26,Madera,California,06039,5020,74
2020-10-26,Marin,California,06041,7097,128
2020-10-26,Mariposa,California,06043,78,2
2020-10-26,Mendocino,California,06045,1136,21
2020-10-26,Merced,California,06047,9531,155
2020-10-26,Modoc,California,06049,28,0
2020-10-26,Mono,California,06051,180,2
2020-10-26,Monterey,California,06053,11419,91
2020-10-26,Napa,California,06055,1963,15
2020-10-26,Nevada,California,06057,623,8
2020-10-26,Orange,California,06059,60583,1447
2020-10-26,Placer,California,06061,4178,57
2020-10-26,Plumas,California,06063,63,0
2020-10-26,Riverside,California,06065,66732,1295
2020-10-26,Sacramento,California,06067,25600,491
2020-10-26,San Benito,California,06069,1442,15
2020-10-26,San Bernardino,California,06071,62774,1072
2020-10-26,San Diego,California,06073,55004,870
2020-10-26,San Francisco,California,06075,12155,140
2020-10-26,San Joaquin,California,06077,21729,489
2020-10-26,San Luis Obispo,California,06079,4174,32
2020-10-26,San Mateo,California,06081,11149,159
2020-10-26,Santa Barbara,California,06083,9820,122
2020-10-26,Santa Clara,California,06085,24313,389
2020-10-26,Santa Cruz,California,06087,2808,25
2020-10-26,Shasta,California,06089,1889,30
2020-10-26,Sierra,California,06091,6,0
2020-10-26,Siskiyou,California,06093,205,0
2020-10-26,Solano,California,06095,7389,76
2020-10-26,Sonoma,California,06097,9402,136
2020-10-26,Stanislaus,California,06099,18436,397
2020-10-26,Sutter,California,06101,1865,12
2020-10-26,Tehama,California,06103,880,8
2020-10-26,Trinity,California,06105,27,0
2020-10-26,Tulare,California,06107,17590,288
2020-10-26,Tuolumne,California,06109,275,4
2020-10-26,Ventura,California,06111,14300,165
2020-10-26,Yolo,California,06113,3207,59
2020-10-26,Yuba,California,06115,1323,10
2020-10-26,Adams,Colorado,08001,13724,256
2020-10-26,Alamosa,Colorado,08003,307,9
2020-10-26,Arapahoe,Colorado,08005,12534,397
2020-10-26,Archuleta,Colorado,08007,66,0
2020-10-26,Baca,Colorado,08009,30,0
2020-10-26,Bent,Colorado,08011,15,0
2020-10-26,Boulder,Colorado,08013,5509,85
2020-10-26,Broomfield,Colorado,08014,930,41
2020-10-26,Chaffee,Colorado,08015,393,20
2020-10-26,Cheyenne,Colorado,08017,15,0
2020-10-26,Clear Creek,Colorado,08019,70,1
2020-10-26,Conejos,Colorado,08021,66,0
2020-10-26,Costilla,Colorado,08023,36,1
2020-10-26,Crowley,Colorado,08025,91,1
2020-10-26,Custer,Colorado,08027,20,0
2020-10-26,Delta,Colorado,08029,201,3
2020-10-26,Denver,Colorado,08031,17882,459
2020-10-26,Dolores,Colorado,08033,3,0
2020-10-26,Douglas,Colorado,08035,3940,64
2020-10-26,Eagle,Colorado,08037,1426,10
2020-10-26,El Paso,Colorado,08041,10031,196
2020-10-26,Elbert,Colorado,08039,215,3
2020-10-26,Fremont,Colorado,08043,669,1
2020-10-26,Garfield,Colorado,08045,1153,5
2020-10-26,Gilpin,Colorado,08047,28,0
2020-10-26,Grand,Colorado,08049,149,1
2020-10-26,Gunnison,Colorado,08051,306,7
2020-10-26,Hinsdale,Colorado,08053,3,0
2020-10-26,Huerfano,Colorado,08055,33,2
2020-10-26,Jackson,Colorado,08057,9,0
2020-10-26,Jefferson,Colorado,08059,8333,307
2020-10-26,Kiowa,Colorado,08061,4,0
2020-10-26,Kit Carson,Colorado,08063,130,3
2020-10-26,La Plata,Colorado,08067,354,2
2020-10-26,Lake,Colorado,08065,133,0
2020-10-26,Larimer,Colorado,08069,4013,56
2020-10-26,Las Animas,Colorado,08071,70,1
2020-10-26,Lincoln,Colorado,08073,24,0
2020-10-26,Logan,Colorado,08075,1213,12
2020-10-26,Mesa,Colorado,08077,1357,11
2020-10-26,Mineral,Colorado,08079,21,0
2020-10-26,Moffat,Colorado,08081,62,1
2020-10-26,Montezuma,Colorado,08083,200,5
2020-10-26,Montrose,Colorado,08085,463,13
2020-10-26,Morgan,Colorado,08087,854,48
2020-10-26,Otero,Colorado,08089,138,6
2020-10-26,Ouray,Colorado,08091,38,2
2020-10-26,Park,Colorado,08093,92,1
2020-10-26,Phillips,Colorado,08095,48,0
2020-10-26,Pitkin,Colorado,08097,278,2
2020-10-26,Prowers,Colorado,08099,172,0
2020-10-26,Pueblo,Colorado,08101,1982,41
2020-10-26,Rio Blanco,Colorado,08103,28,0
2020-10-26,Rio Grande,Colorado,08105,121,3
2020-10-26,Routt,Colorado,08107,204,8
2020-10-26,Saguache,Colorado,08109,135,2
2020-10-26,San Juan,Colorado,08111,11,0
2020-10-26,San Miguel,Colorado,08113,102,0
2020-10-26,Sedgwick,Colorado,08115,40,1
2020-10-26,Summit,Colorado,08117,679,4
2020-10-26,Teller,Colorado,08119,220,4
2020-10-26,Washington,Colorado,08121,96,0
2020-10-26,Weld,Colorado,08123,6004,159
2020-10-26,Yuma,Colorado,08125,213,1
2020-10-26,Fairfield,Connecticut,09001,22893,1431
2020-10-26,Hartford,Connecticut,09003,17516,1469
2020-10-26,Litchfield,Connecticut,09005,2192,143
2020-10-26,Middlesex,Connecticut,09007,1937,196
2020-10-26,New Haven,Connecticut,09009,16594,1126
2020-10-26,New London,Connecticut,09011,3660,138
2020-10-26,Tolland,Connecticut,09013,1724,68
2020-10-26,Unknown,Connecticut,,189,1
2020-10-26,Windham,Connecticut,09015,1394,17
2020-10-26,Kent,Delaware,10001,3447,120
2020-10-26,New Castle,Delaware,10003,12776,339
2020-10-26,Sussex,Delaware,10005,7854,226
2020-10-26,Unknown,Delaware,,91,0
2020-10-26,District of Columbia,District of Columbia,11001,16812,642
2020-10-26,Alachua,Florida,12001,10114,74
2020-10-26,Baker,Florida,12003,1752,19
2020-10-26,Bay,Florida,12005,6667,132
2020-10-26,Bradford,Florida,12007,1222,15
2020-10-26,Brevard,Florida,12009,11083,366
2020-10-26,Broward,Florida,12011,83962,1521
2020-10-26,Calhoun,Florida,12013,702,14
2020-10-26,Charlotte,Florida,12015,3553,157
2020-10-26,Citrus,Florida,12017,3178,130
2020-10-26,Clay,Florida,12019,5966,117
2020-10-26,Collier,Florida,12021,14135,253
2020-10-26,Columbia,Florida,12023,4214,71
2020-10-26,DeSoto,Florida,12027,1654,29
2020-10-26,Dixie,Florida,12029,886,11
2020-10-26,Duval,Florida,12031,34462,513
